B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 413.02             6910.71             6929.635            6910.71             6916.537            6917.911            6915.939            6911.377           -18.9248 
 412.97             6916.79             6929.784            6910.71             6916.579            6917.966            6915.984            6911.385           -12.99365 
 412.92             6960.27             6929.921            6910.697            6916.608            6918.009            6916.016            6911.381            30.34863 
 412.87             7005.47             6929.97             6910.594            6916.547            6917.961            6915.958            6911.286            75.5 
 412.82             6768.97             6929.926            6910.396            6916.392            6917.82             6915.806            6911.097           -160.9561 
 412.77             7044.05             6930.378            6910.691            6916.73             6918.173            6916.147            6911.401            113.6719 
 412.72             6945.6              6930.256            6910.413            6916.495            6917.953            6915.916            6911.131            15.34375 
 412.67             6837.47             6930.343            6910.339            6916.466            6917.938            6915.89             6911.067           -92.87305 
 412.62             6839.85             6930.657            6910.491            6916.663            6918.149            6916.09             6911.228           -90.80664 
 412.57             6817.14             6930.968            6910.639            6916.856            6918.357            6916.287            6911.385           -113.8281 
 412.52             6903.84             6931.329            6910.834            6917.096            6918.613            6916.532            6911.59            -27.48926 
 412.47             6944.26             6931.511            6910.849            6917.157            6918.689            6916.596            6911.614            12.74854 
 412.42             6974.12             6931.611            6910.779            6917.134            6918.682            6916.577            6911.554            42.50928 
 412.37             6888.15             6931.651            6910.647            6917.049            6918.613            6916.497            6911.433           -43.50146 
 412.32             7037.76             6931.873            6910.694            6917.144            6918.724            6916.596            6911.49             105.8872 
 412.27             6998.35             6931.783            6910.428            6916.926            6918.523            6916.383            6911.235            66.56738 
 412.22             7129.45             6931.778            6910.245            6916.792            6918.405            6916.253            6911.062            197.6724 
 412.17             6872.09             6931.501            6909.787            6916.383            6918.013            6915.85             6910.615           -59.41113 
 412.12             6660.56             6931.763            6909.865            6916.511            6918.158            6915.984            6910.705           -271.2026 
 412.07             6656.91             6932.469            6910.386            6917.083            6918.747            6916.56             6911.237           -275.5591 
 412.02             6598.35             6933.187            6910.916            6917.663            6919.345            6917.146            6911.779           -334.8369 
 411.97             6798.54             6934.03             6911.568            6918.368            6920.067            6917.857            6912.443           -135.4902 
 411.92             6987.48             6934.459            6911.804            6918.656            6920.374            6918.151            6912.691            53.021 
 411.87             6918.23             6934.497            6911.646            6918.551            6920.287            6918.052            6912.546           -16.26709 
 411.82             6555.24             6934.682            6911.633            6918.591            6920.346            6918.098            6912.545           -379.4414 
 411.77             6566.64             6935.626            6912.377            6919.389            6921.163            6918.903            6913.303           -368.9863 
 411.72             6621.1              6936.552            6913.099            6920.166            6921.959            6919.687            6914.038           -315.4521 
 411.67             6954.11             6937.368            6913.709            6920.831            6922.644            6920.359            6914.662            16.7417 
 411.62             6754.44             6937.492            6913.624            6920.802            6922.634            6920.337            6914.59            -183.0518 
 411.57             6721.2              6938.037            6913.957            6921.191            6923.044            6920.735            6914.938           -216.8364 
 411.52             6580.28             6938.654            6914.359            6921.651            6923.524            6921.202            6915.354           -358.3745 
 411.47             6720.19             6939.569            6915.057            6922.407            6924.301            6921.966            6916.067           -219.3794 
 411.42             6750.38             6940.198            6915.464            6922.873            6924.788            6922.44             6916.49            -189.8179 
 411.37             6477.4              6940.766            6915.809            6923.277            6925.213            6922.853            6916.85            -463.3662 
 411.32             6540.73             6941.909            6916.725            6924.253            6926.211            6923.837            6917.781           -401.1787 
 411.27             6374.51             6942.924            6917.51             6925.099            6927.08             6924.693            6918.583           -568.4146 
 411.22             6251.75             6944.291            6918.644            6926.294            6928.297            6925.898            6919.733           -692.541 
 411.17             6531.53             6945.921            6920.037            6927.75             6929.775            6927.363            6921.144           -414.3911 
 411.12             6603.46             6946.973            6920.849            6928.625            6930.673            6928.248            6921.973           -343.5127 
 411.07             6325.74             6947.879            6921.512            6929.352            6931.424            6928.985            6922.653           -622.1387 
 411.02             6429.46             6949.371            6922.756            6930.661            6932.757            6930.305            6923.916           -519.9106 
 410.97             6503.75             6950.651            6923.786            6931.756            6933.876            6931.412            6924.965           -446.9014 
 410.92             6541.49             6951.783            6924.664            6932.7              6934.845            6932.367            6925.861           -410.2925 
