B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              Peak 5              Peak 6              difference
 41.02              361.621             365.7693            361.621             361.6356            361.6601            361.6533            361.6805            361.7091            365.5357           -4.148254 
 40.97              346.287             365.7916            361.621             361.6356            361.6602            361.6534            361.6807            361.7095            365.5572           -19.50461 
 40.92              380.008             365.8515            361.6584            361.673             361.6977            361.6909            361.7183            361.7472            365.6163            14.15649 
 40.87              403.229             365.8295            361.6136            361.6284            361.6531            361.6462            361.6738            361.7029            365.5935            37.39948 
 40.82              357.359             365.751             361.5122            361.527             361.5518            361.545             361.5726            361.6018            365.5141           -8.392029 
 40.77              352.881             365.7842            361.5223            361.5371            361.562             361.5551            361.5829            361.6123            365.5465           -12.90323 
 40.72              336.695             365.8286            361.5434            361.5582            361.5832            361.5763            361.6042            361.6337            365.59             -29.13361 
 40.67              368.147             365.9126            361.604             361.6188            361.6439            361.637             361.665             361.6946            365.6732            2.234406 
 40.62              376.939             365.9203            361.588             361.6029            361.628             361.6212            361.6493            361.679             365.68              11.01868 
 40.57              363.093             365.9068            361.5506            361.5656            361.5907            361.5839            361.6121            361.642             365.6656           -2.813812 
 40.52              344.478             365.9271            361.5468            361.5618            361.5871            361.5802            361.6085            361.6386            365.685            -21.44907 
 40.47              374.258             365.993             361.5884            361.6035            361.6288            361.6219            361.6504            361.6806            365.75              8.265045 
 40.42              337.447             365.9865            361.5576            361.5727            361.5981            361.5912            361.6197            361.6501            365.7427           -28.53952 
 40.37              365.634             366.0699            361.6163            361.6314            361.657             361.65              361.6787            361.7092            365.8253           -.4359436 
 40.32              362.057             366.0851            361.6066            361.6217            361.6473            361.6404            361.6692            361.6999            365.8394           -4.028076 
 40.27              394.03              366.1091            361.6055            361.6207            361.6463            361.6394            361.6683            361.6992            365.8625            27.92093 
 40.22              386.21              366.0553            361.5264            361.5417            361.5674            361.5605            361.5895            361.6205            365.8079            20.15472 
 40.17              362.389             366.0206            361.4663            361.4816            361.5074            361.5004            361.5296            361.5607            365.7723           -3.631622 
