B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 321.02             3066.53             3070.046            3066.53             3066.968            3069.345            3066.794           -3.516113 
 320.97             3109.51             3070.057            3066.53             3066.969            3069.353            3066.794            39.45337 
 320.92             3066.76             3070.142            3066.604            3067.045            3069.436            3066.87            -3.381836 
 320.87             3205.76             3070.155            3066.606            3067.048            3069.447            3066.873            135.6055 
 320.82             3372.88             3070.408            3066.849            3067.291            3069.698            3067.116            302.4719 
 320.77             3127.62             3070.955            3067.385            3067.829            3070.243            3067.653            56.66479 
 320.72             3130.27             3071.09             3067.509            3067.954            3070.376            3067.778            59.17969 
 320.67             3178.05             3071.232            3067.64             3068.086            3070.516            3067.91             106.8176 
 320.62             3089.32             3071.459            3067.856            3068.303            3070.74             3068.127            17.8606 
 320.57             2985.47             3071.538            3067.923            3068.372            3070.817            3068.195           -86.06787 
 320.52             2950.86             3071.438            3067.811            3068.261            3070.714            3068.085           -120.5776 
 320.47             3166.59             3071.275            3067.637            3068.088            3070.549            3067.911            95.31543 
 320.42             3069.5              3071.481            3067.832            3068.284            3070.752            3068.107           -1.980713 
 320.37             3046.48             3071.522            3067.862            3068.316            3070.792            3068.138           -25.04248 
 320.32             3131.34             3071.525            3067.853            3068.308            3070.792            3068.13             59.81519 
 320.27             2962.1              3071.674            3067.99             3068.447            3070.939            3068.269           -109.5737 
 320.22             3060.19             3071.532            3067.837            3068.295            3070.795            3068.117           -11.34253 
 320.17             3102.47             3071.557            3067.85             3068.31             3070.817            3068.131            30.91309 
 320.12             3174.19             3071.655            3067.936            3068.397            3070.913            3068.218            102.5352 
 320.07             3067.15             3071.878            3068.148            3068.61             3071.133            3068.43            -4.727783 
 320.02             3202.79             3071.92             3068.178            3068.641            3071.173            3068.462            130.8699 
 319.97             3141.25             3072.198            3068.444            3068.908            3071.448            3068.728            69.05249 
 319.92             3071.64             3072.373            3068.608            3069.073            3071.622            3068.893           -.7333984 
 319.87             3034.48             3072.433            3068.655            3069.122            3071.678            3068.942           -37.95264 
 319.82             3068.39             3072.427            3068.638            3069.106            3071.671            3068.926           -4.037354 
 319.77             2946.26             3072.48             3068.678            3069.148            3071.721            3068.968           -126.2205 
 319.72             3122.09             3072.323            3068.509            3068.98             3071.561            3068.799            49.76758 
 319.67             3263.42             3072.464            3068.638            3069.111            3071.7              3068.929            190.9556 
 319.62             3099.49             3072.853            3069.015            3069.489            3072.087            3069.307            26.63672 
 319.57             3260.54             3072.966            3069.115            3069.59             3072.197            3069.408            187.5742 
 319.52             3107.86             3073.358            3069.495            3069.972            3072.587            3069.79             34.50171 
 319.47             3116.75             3073.495            3069.619            3070.098            3072.721            3069.915            43.25488 
 319.42             3169.66             3073.649            3069.76             3070.24             3072.872            3070.057            96.01123 
 319.37             3078.53             3073.896            3069.995            3070.476            3073.117            3070.293            4.634033 
 319.32             3115.82             3073.99             3070.077            3070.559            3073.209            3070.376            41.82983 
 319.27             3105.54             3074.15             3070.224            3070.708            3073.366            3070.524            31.39014 
 319.22             3214.83             3074.293            3070.355            3070.84             3073.507            3070.656            140.5366 
 319.17             3298.48             3074.628            3070.677            3071.163            3073.839            3070.979            223.8516 
 319.12             3341.72             3075.114            3071.149            3071.637            3074.322            3071.453            266.6062 
 319.07             3260.35             3075.683            3071.706            3072.195            3074.889            3072.01             184.667 
 319.02             3172.11             3076.123            3072.132            3072.623            3075.326            3072.438            95.9873 
 318.97             3096.36             3076.417            3072.414            3072.906            3075.618            3072.721            19.94287 
 318.92             3171.99             3076.586            3072.569            3073.063            3075.783            3072.877            95.4043 
 318.87             3020.35             3076.887            3072.857            3073.352            3076.082            3073.167           -56.53662 
 318.82             3184.86             3076.931            3072.887            3073.384            3076.123            3073.198            107.9294 
 318.77             3331.8              3077.258            3073.201            3073.699            3076.447            3073.513            254.5425 
 318.72             3140.64             3077.844            3073.774            3074.273            3077.031            3074.087            62.79639 
 318.67             3309.84             3078.11             3074.027            3074.528            3077.294            3074.341            231.73 
 318.62             3296.42             3078.672            3074.576            3075.078            3077.854            3074.891            217.7476 
 318.57             3137.55             3079.222            3075.111            3075.615            3078.401            3075.428            58.32813 
 318.52             3135.95             3079.506            3075.382            3075.887            3078.682            3075.7              56.44409 
 318.47             3247.62             3079.791            3075.653            3076.16             3078.964            3075.972            167.8293 
 318.42             3138.78             3080.272            3076.121            3076.629            3079.443            3076.441            58.50781 
 318.37             3171.43             3080.573            3076.408            3076.918            3079.741            3076.73             90.85645 
