B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              difference
 546.02             8610.12             8615.083            8610.12             8615.083           -4.962891 
 545.97             8889.07             8615.119            8610.12             8615.119            273.9512 
 545.92             8678.14             8615.111            8610.076            8615.111            63.02832 
 545.87             8666.57             8615.138            8610.065            8615.138            51.43262 
 545.82             8671.74             8615.165            8610.056            8615.165            56.5752 
 545.77             8631.03             8615.192            8610.046            8615.192            15.83789 
 545.72             8524.71             8615.228            8610.043            8615.228           -90.51758 
 545.67             8472.51             8615.28             8610.057            8615.28            -142.7705 
 545.62             8843.84             8615.341            8610.078            8615.341            228.499 
 545.57             8795.54             8615.343            8610.041            8615.343            180.1973 
 545.52             8644.61             8615.354            8610.012            8615.354            29.25684 
 545.47             8497.79             8615.388            8610.006            8615.388           -117.5977 
 545.42             8665.7              8615.447            8610.024            8615.447            50.25293 
 545.37             8981.48             8615.479            8610.016            8615.479            366.001 
 545.32             8826.66             8615.462            8609.956            8615.462            211.1982 
 545.27             8805.56             8615.47             8609.922            8615.47             190.0898 
 545.22             8431.58             8615.481            8609.891            8615.481           -183.9014 
 545.17             8617.06             8615.553            8609.919            8615.553            1.506836 
 545.12             8565.31             8615.595            8609.918            8615.595           -50.28516 
 545.07             8740.74             8615.646            8609.925            8615.646            125.0938 
 545.02             9031.41             8615.67             8609.904            8615.67             415.7402 
 544.97             8586.12             8615.648            8609.837            8615.648           -29.52832 
 544.92             8630.62             8615.697            8609.841            8615.697            14.92285 
 544.87             8553.49             8615.741            8609.838            8615.741           -62.25098 
 544.82             8916.92             8615.797            8609.847            8615.797            301.123 
 544.77             8860.51             8615.795            8609.798            8615.795            244.7148 
 544.72             8476.33             8615.803            8609.758            8615.803           -139.4727 
 544.67             8567.99             8615.873            8609.779            8615.873           -47.88281 
 544.62             8659.83             8615.929            8609.786            8615.929            43.90137 
 544.57             8646.74             8615.971            8609.778            8615.971            30.76953 
 544.52             8772.51             8616.016            8609.772            8616.016            156.4941 
 544.47             8738.72             8616.04             8609.746            8616.04             122.6797 
 544.42             8623.64             8616.07             8609.726            8616.07             7.569336 
 544.37             8899.22             8616.121            8609.724            8616.121            283.0986 
 544.32             8718.63             8616.128            8609.678            8616.128            102.502 
 544.27             8901.86             8616.164            8609.66             8616.164            285.6963 
 544.22             8479.38             8616.171            8609.613            8616.171           -136.791 
 544.17             8450.53             8616.247            8609.635            8616.247           -165.7168 
 544.12             8847.19             8616.328            8609.66             8616.328            230.8623 
 544.07             8846.11             8616.346            8609.622            8616.346            229.7646 
 544.02             8723.27             8616.365            8609.584            8616.365            106.9043 
 543.97             8834.05             8616.405            8609.566            8616.405            217.6445 
 543.92             8700.96             8616.427            8609.53             8616.427            84.5332 
 543.87             8617.83             8616.473            8609.517            8616.473            1.357422 
 543.82             8570.17             8616.53             8609.515            8616.53            -46.36035 
 543.77             8356.49             8616.598            8609.521            8616.598           -260.1074 
 543.72             8324.54             8616.699            8609.562            8616.699           -292.1592 
 543.67             8241.38             8616.807            8609.606            8616.807           -375.4268 
 543.62             8410.26             8616.928            8609.665            8616.928           -206.668 
 543.57             8775.83             8617.023            8609.696            8617.023            158.8066 
 543.52             8520.29             8617.062            8609.67             8617.062           -96.77148 
 543.47             8696.15             8617.142            8609.685            8617.142            79.00879 
 543.42             8560.88             8617.194            8609.671            8617.194           -56.31445 
 543.37             8716.54             8617.27             8609.679            8617.27             99.27051 
 543.32             8414.93             8617.321            8609.662            8617.321           -202.3916 
 543.27             8419.96             8617.421            8609.692            8617.421           -197.4609 
 543.22             8517.58             8617.521            8609.723            8617.521           -99.94043 
 543.17             8772.01             8617.606            8609.737            8617.606            154.4033 
 543.12             8487.09             8617.653            8609.712            8617.653           -130.5635 
 543.07             8398.53             8617.746            8609.731            8617.746           -219.2158 
 543.02             8713.22             8617.853            8609.765            8617.853            95.36719 
 542.97             8317.52             8617.911            8609.748            8617.911           -300.3916 
 542.92             8355.82             8618.034            8609.795            8618.034           -262.2139 
 542.87             8476.93             8618.151            8609.835            8618.151           -141.2217 
 542.82             8735.92             8618.251            8609.856            8618.251            117.6689 
 542.77             8408.15             8618.31             8609.836            8618.31            -210.1592 
 542.72             8476.08             8618.423            8609.868            8618.423           -142.3428 
 542.67             8600.63             8618.525            8609.89             8618.525           -17.89551 
 542.62             8546.85             8618.609            8609.891            8618.609           -71.75977 
 542.57             8632.71             8618.703            8609.9              8618.703            14.00684 
 542.52             8602.47             8618.785            8609.897            8618.785           -16.31543 
 542.47             8443.99             8618.873            8609.898            8618.873           -174.8828 
 542.42             8501.24             8618.986            8609.925            8618.986           -117.7461 
 542.37             8874.66             8619.093            8609.942            8619.093            255.5674 
 542.32             8527.34             8619.141            8609.899            8619.141           -91.80078 
 542.27             8777.17             8619.245            8609.913            8619.245            157.9248 
 542.22             8657.29             8619.313            8609.887            8619.313            37.97754 
 542.17             8656.42             8619.398            8609.879            8619.398            37.02148 
 542.12             8503.72             8619.486            8609.871            8619.486           -115.7666 
 542.07             8226.01             8619.602            8609.889            8619.602           -393.5918 
 542.02             8763.39             8619.761            8609.949            8619.761            143.6289 
 541.97             8667                8619.837            8609.925            8619.837            47.16309 
 541.92             8625.88             8619.93             8609.916            8619.93             5.950195 
 541.87             8634.39             8620.029            8609.913            8620.029            14.36035 
 541.82             8708.67             8620.131            8609.909            8620.131            88.53906 
 541.77             8911.97             8620.222            8609.894            8620.222            291.748 
 541.72             8607.64             8620.282            8609.846            8620.282           -12.64258 
 541.67             8529.45             8620.392            8609.846            8620.392           -90.94141 
 541.62             8655.01             8620.517            8609.859            8620.517            34.49316 
 541.57             8765.16             8620.622            8609.852            8620.622            144.5381 
 541.52             8882.52             8620.713            8609.827            8620.713            261.8066 
 541.47             8591.14             8620.787            8609.784            8620.787           -29.64746 
 541.42             8558.15             8620.909            8609.787            8620.909           -62.75879 
 541.37             8639.34             8621.038            8609.795            8621.038            18.30176 
 541.32             8778.03             8621.155            8609.79             8621.155            156.875 
 541.27             8826.98             8621.254            8609.764            8621.254            205.7266 
 541.22             8788.71             8621.347            8609.729            8621.347            167.3633 
 541.17             8823.03             8621.446            8609.7              8621.446            201.584 
 541.12             8469.19             8621.545            8609.667            8621.545           -152.3545 
 541.07             8203.06             8621.7              8609.689            8621.7             -418.6406 
 541.02             8334.31             8621.9              8609.754            8621.9             -287.5908 
 540.97             8314.68             8622.081            8609.797            8622.081           -307.4014 
 540.92             8789.68             8622.27             8609.845            8622.27             167.4102 
 540.87             8989.06             8622.383            8609.815            8622.383            366.6768 
 540.82             8435.6              8622.468            8609.756            8622.468           -186.8682 
 540.77             8448.49             8622.643            8609.783            8622.643           -174.1523 
 540.72             8445                8622.818            8609.809            8622.818           -177.8184 
 540.67             8347.87             8622.998            8609.835            8622.998           -275.1279 
 540.62             8667.11             8623.195            8609.877            8623.195            43.91504 
 540.57             8626.7              8623.344            8609.867            8623.344            3.356445 
 540.52             8428.42             8623.503            8609.865            8623.503           -195.083 
 540.47             8820.99             8623.695            8609.894            8623.695            197.2949 
 540.42             8809.04             8623.828            8609.86             8623.828            185.2119 
 540.37             8944.39             8623.966            8609.828            8623.966            320.4238 
 540.32             8500.96             8624.086            8609.775            8624.086           -123.126 
 540.27             9010.9              8624.28             8609.793            8624.28             386.6201 
 540.22             8929.86             8624.396            8609.729            8624.396            305.4648 
 540.17             8725.67             8624.527            8609.678            8624.527            101.1426 
 540.12             8736.22             8624.694            8609.659            8624.694            111.5254 
 540.07             8764.37             8624.864            8609.64             8624.864            139.5059 
 540.02             8487.03             8625.033            8609.615            8625.033           -138.0029 
 539.97             8513.96             8625.25             8609.635            8625.25            -111.29 
 539.92             8540.93             8625.466            8609.649            8625.466           -84.53613 
 539.87             8565.66             8625.681            8609.66             8625.681           -60.02051 
 539.82             8957.39             8625.896            8609.667            8625.896            331.4941 
 539.77             8780.03             8626.054            8609.612            8626.054            153.9766 
 539.72             8631.27             8626.243            8609.585            8626.243            5.026367 
 539.67             8569.94             8626.461            8609.582            8626.461           -56.52051 
 539.62             8807.06             8626.692            8609.588            8626.692            180.3672 
 539.57             9051.81             8626.892            8609.557            8626.892            424.918 
 539.52             8688                8627.056            8609.486            8627.056            60.94434 
 539.47             8679.87             8627.282            8609.474            8627.282            52.58789 
 539.42             8733.11             8627.516            8609.463            8627.516            105.5947 
 539.37             8907.28             8627.745            8609.443            8627.745            279.5352 
 539.32             8743.07             8627.951            8609.396            8627.951            115.1191 
 539.27             8457.6              8628.19             8609.375            8628.19            -170.5908 
 539.22             8431.32             8628.479            8609.398            8628.479           -197.1592 
