"Au sample deposited by Zr for 20 min   "
TotalNumOfRegions=4
Region=1
"O 1s"
Npoints=241
     537.691     16978.000
     537.641     17076.000
     537.591     17065.300
     537.541     17304.700
     537.491     17156.700
     537.441     17154.000
     537.391     17256.700
     537.341     17045.300
     537.291     17119.300
     537.241     17054.700
     537.191     17322.700
     537.141     17086.700
     537.091     17119.300
     537.041     16996.700
     536.991     17238.000
     536.941     16938.000
     536.891     17143.300
     536.841     17165.300
     536.791     17129.300
     536.741     17219.300
     536.691     17067.300
     536.641     17052.000
     536.591     16920.000
     536.541     17155.300
     536.491     16947.300
     536.441     17097.300
     536.391     16976.000
     536.341     16768.000
     536.291     16984.700
     536.241     16976.700
     536.191     17036.000
     536.141     17219.300
     536.091     17262.700
     536.041     17110.700
     535.991     17241.300
     535.941     16936.000
     535.891     17384.000
     535.841     17179.300
     535.791     17034.700
     535.741     16930.700
     535.691     17052.700
     535.641     17348.700
     535.591     17221.300
     535.541     17121.300
     535.491     17086.000
     535.441     17077.300
     535.391     17048.700
     535.341     17266.700
     535.291     17431.300
     535.241     17023.300
     535.191     17084.000
     535.141     17388.700
     535.091     17297.300
     535.041     17353.300
     534.991     17121.300
     534.941     17522.000
     534.891     17250.700
     534.841     17442.000
     534.791     17419.300
     534.741     17276.700
     534.691     17374.000
     534.641     17380.000
     534.591     17491.300
     534.541     17284.000
     534.491     17728.000
     534.441     17436.000
     534.391     17438.700
     534.341     17392.000
     534.291     17470.000
     534.241     17566.700
     534.191     17668.000
     534.141     17692.700
     534.091     17534.700
     534.041     17644.700
     533.991     17635.300
     533.941     17748.700
     533.891     17705.300
     533.841     17666.700
     533.791     17914.000
     533.741     17962.700
     533.691     17945.300
     533.641     18047.300
     533.591     18184.700
     533.541     17982.000
     533.491     18113.300
     533.441     18203.300
     533.391     18308.700
     533.341     18342.700
     533.291     18399.300
     533.241     18518.000
     533.191     18555.300
     533.141     18586.000
     533.091     18677.300
     533.041     18973.300
     532.991     18923.300
     532.941     18926.000
     532.891     19166.000
     532.841     19386.700
     532.791     19474.700
     532.741     19778.700
     532.691     19779.300
     532.641     20248.000
     532.591     20308.000
     532.541     20556.000
     532.491     20763.300
     532.441     20925.300
     532.391     21181.300
     532.341     21548.000
     532.291     21745.300
     532.241     21964.700
     532.191     22742.000
     532.141     23194.000
     532.091     23368.000
     532.041     23722.000
     531.991     24330.700
     531.941     24531.300
     531.891     25136.000
     531.841     25441.300
     531.791     26032.700
     531.741     26056.000
     531.691     26248.700
     531.641     26698.700
     531.591     27048.700
     531.541     27608.000
     531.491     27709.300
     531.441     27532.000
     531.391     27414.700
     531.341     27785.300
     531.291     27790.000
     531.241     27730.700
     531.191     27119.300
     531.141     26800.700
     531.091     26457.300
     531.041     26127.300
     530.991     25932.000
     530.941     25338.000
     530.891     24686.700
     530.841     24056.700
     530.791     23939.300
     530.741     23105.300
     530.691     22730.700
     530.641     22038.700
     530.591     21742.700
     530.541     21142.000
     530.491     20806.700
     530.441     20348.000
     530.391     20145.300
     530.341     19858.700
     530.291     19492.000
     530.241     18902.000
     530.191     18818.000
     530.141     18598.700
     530.091     18548.700
     530.041     18131.300
     529.991     18048.700
     529.941     17775.300
     529.891     17732.000
     529.841     17523.300
     529.791     17374.700
     529.741     17420.700
     529.691     17096.700
     529.641     17055.300
