 WL        Abs       T%
 200.0  0.213422  61.175591
 201.0  0.165159  68.366096
 202.0  0.220699  60.159027
 203.0  0.189909  64.579025
 204.0  0.214105  61.079365
 205.0  0.189943  64.573853
 206.0  0.210327  61.613037
 207.0  0.191085  64.404396
 208.0  0.234977  58.213436
 209.0  0.214902  60.967457
 210.0  0.230067  58.875343
 211.0  0.225902  59.442566
 212.0  0.204864  62.392998
 213.0  0.200916  62.962841
 214.0  0.221014  60.115498
 215.0  0.193139  64.100494
 216.0  0.238084  57.798462
 217.0  0.207864  61.963570
 218.0  0.208062  61.935291
 219.0  0.209168  61.777695
 220.0  0.185688  65.209740
 221.0  0.225004  59.565655
 222.0  0.193155  64.098137
 223.0  0.193232  64.086655
 224.0  0.209724  61.698689
 225.0  0.227387  59.239677
 226.0  0.225183  59.541153
 227.0  0.238967  57.680988
 228.0  0.226475  59.364250
 229.0  0.239316  57.634762
 230.0  0.243568  57.073116
 231.0  0.238883  57.692215
 232.0  0.242245  57.247303
 233.0  0.246036  56.749763
 234.0  0.244078  57.006184
 235.0  0.242871  57.164867
 236.0  0.227987  59.157894
 237.0  0.243291  57.109535
 238.0  0.233456  58.417686
 239.0  0.218915  60.406704
 240.0  0.240810  57.436794
 241.0  0.223339  59.794487
 242.0  0.260169  54.932732
 243.0  0.254889  55.604572
 244.0  0.228914  59.031761
 245.0  0.279707  52.516140
 246.0  0.220658  60.164692
 247.0  0.249630  56.282051
 248.0  0.218748  60.429855
 249.0  0.244743  56.918968
 250.0  0.262877  54.591293
 251.0  0.238392  57.757465
 252.0  0.276387  52.919201
 253.0  0.249745  56.267113
 254.0  0.269810  53.726730
 255.0  0.267824  53.972923
 256.0  0.253958  55.723995
 257.0  0.253516  55.780666
 258.0  0.282036  52.235252
 259.0  0.257395  55.284702
 260.0  0.265010  54.323753
 261.0  0.268044  53.945553
 262.0  0.268352  53.907364
 263.0  0.296123  50.568127
 264.0  0.280407  52.431534
 265.0  0.317333  48.157787
 266.0  0.335288  46.207420
 267.0  0.325996  47.206696
 268.0  0.398024  39.992279
 269.0  0.444263  35.953136
 270.0  0.476239  33.401131
 271.0  0.532312  29.355381
 272.0  0.580807  26.253845
 273.0  0.624524  23.739737
 274.0  0.652343  22.266745
 275.0  0.690824  20.378698
 276.0  0.715170  19.267710
 277.0  0.736024  18.364378
 278.0  0.754164  17.613129
 279.0  0.768483  17.041845
 280.0  0.785733  16.378218
 281.0  0.792459  16.126541
 282.0  0.799436  15.869537
 283.0  0.805835  15.637416
 284.0  0.818567  15.185622
 285.0  0.834078  14.652848
 286.0  0.837199  14.547928
 287.0  0.842257  14.379461
 288.0  0.851164  14.087571
 289.0  0.861886  13.744038
 290.0  0.872313  13.417972
 291.0  0.881923  13.124316
 292.0  0.889410  12.899998
 293.0  0.903019  12.502045
 294.0  0.920601  12.006024
 295.0  0.939468  11.495608
 296.0  0.970015  10.714813
 297.0  1.012140   9.724339
 298.0  0.941178  11.450437
 299.0  0.942350  11.419582
 300.0  0.946721  11.305223
 301.0  0.951203  11.189141
 302.0  0.956063  11.064638
 303.0  0.960316  10.956805
 304.0  0.965593  10.824492
 305.0  0.969626  10.724426
 306.0  0.974833  10.596614
 307.0  0.981255  10.441074
 308.0  0.986449  10.316931
 309.0  0.989396  10.247172
 310.0  0.993614  10.148125
 311.0  1.019375   9.563675
 312.0  1.024972   9.441223
 313.0  1.034297   9.240658
 314.0  1.037414   9.174580
 315.0  1.041182   9.095322
 316.0  1.047082   8.972595
 317.0  1.051585   8.880035
 318.0  1.057974   8.750358
 319.0  1.062764   8.654375
 320.0  1.065065   8.608644
 321.0  1.071062   8.490601
 322.0  1.075327   8.407620
 323.0  1.077384   8.367893
 324.0  1.081785   8.283520
 325.0  1.082645   8.267138
 326.0  1.085886   8.205665
 327.0  1.089306   8.141302
 328.0  1.090868   8.112084
 329.0  1.091131   8.107161
 330.0  1.094201   8.050058
 331.0  1.093452   8.063950
 332.0  1.094083   8.052244
 333.0  1.093741   8.058585
 334.0  1.091800   8.094678
 335.0  1.090628   8.116566
 336.0  1.087821   8.169186
 337.0  1.080898   8.300461
 338.0  1.075557   8.403160
 339.0  0.995649  10.100678
 340.0  0.142941  71.954689
 341.0  0.123623  75.227524
 342.0  0.162767  68.743744
 343.0  0.123085  75.320892
 344.0  0.097516  79.888458
 345.0  0.123635  75.225555
 346.0  0.166793  68.109322
 347.0  0.147364  71.225555
 348.0  0.149991  70.796097
 349.0  0.115875  76.581696
 350.0  0.168319  67.870514
 351.0  0.186851  65.035217
 352.0  0.196177  63.653603
 353.0  0.215046  60.947193
 354.0  0.246983  56.626186
 355.0  0.249561  56.291027
 356.0  0.293324  50.895130
 357.0  0.282415  52.189705
 358.0  0.312252  48.724522
 359.0  0.341141  45.588902
 360.0  0.371414  42.519283
 361.0  0.395654  40.211075
 362.0  0.416424  38.333298
 363.0  0.439843  36.320900
 364.0  0.464176  34.341843
 365.0  0.465096  34.269203
 366.0  0.503680  31.355928
 367.0  0.497256  31.823225
 368.0  0.530333  29.489445
 369.0  0.522200  30.046957
 370.0  0.498855  31.706251
 371.0  0.249664  56.277664
 372.0  0.259710  54.990757
 373.0  0.220858  60.137070
 374.0  0.237067  57.933887
 375.0  0.219146  60.374626
 376.0  0.223724  59.741417
 377.0  0.198301  63.343025
 378.0  0.259362  55.034924
 379.0  0.237225  57.912819
 380.0  0.230249  58.850624
 381.0  0.263620  54.497913
 382.0  0.270805  53.603714
 383.0  0.258607  55.130615
 384.0  0.282165  52.219753
 385.0  0.279076  52.592541
 386.0  0.268941  53.834343
 387.0  0.247645  56.539879
 388.0  0.295644  50.623928
 389.0  0.297994  50.350780
 390.0  0.298125  50.335552
 391.0  0.273000  53.333488
 392.0  0.290018  51.284004
 393.0  0.247750  56.526283
 394.0  0.236205  58.048973
 395.0  0.290285  51.252495
 396.0  0.306138  49.415333
 397.0  0.324265  47.395218
 398.0  0.400153  39.796734
 399.0  0.454507  35.115009
 400.0  0.471945  33.732979
 401.0  0.553337  27.968119
 402.0  0.600553  25.086899
 403.0  0.660559  21.849483
 404.0  0.723118  18.918297
 405.0  0.750736  17.752684
 406.0  0.814288  15.335983
 407.0  0.839316  14.477164
 408.0  0.879898  13.185661
 409.0  0.901121  12.556810
 410.0  0.935994  11.587927
 411.0  0.954025  11.116668
 412.0  0.979856  10.474758
 413.0  0.989496  10.244802
 414.0  1.011527   9.738069
 415.0  1.020932   9.529460
 416.0  1.043779   9.041097
 417.0  1.046255   8.989694
 418.0  1.061401   8.681575
 419.0  1.083969   8.241977
 420.0  1.093694   8.059455
 421.0  1.095438   8.027170
 422.0  1.111679   7.732512
 423.0  1.124900   7.500671
 424.0  1.133446   7.354515
 425.0  1.159746   6.922352
 426.0  1.173201   6.711180
 427.0  1.197826   6.341235
 428.0  1.236432   5.801876
 429.0  1.290379   5.124135
 430.0  1.371229   4.253740
 431.0  1.204720   6.241364
 432.0  1.202696   6.270530
 433.0  1.200178   6.306989
 434.0  1.203889   6.253330
 435.0  1.201787   6.283667
 436.0  1.209221   6.177022
 437.0  1.202427   6.274408
 438.0  1.202496   6.273421
 439.0  1.206555   6.215054
 440.0  1.203151   6.263968
 441.0  1.205381   6.231875
 442.0  1.204768   6.240675
 443.0  1.200101   6.308113
 444.0  1.201041   6.294461
 445.0  1.197570   6.344973
 446.0  1.190389   6.450758
 447.0  1.182543   6.568367
 448.0  1.173148   6.712006
 449.0  1.157697   6.955100
 450.0  1.130434   7.405702
 451.0  1.012643   9.713081
