 WL        Abs       T%
 200.0  0.860562  13.785996
 201.0  0.870813  13.464411
 202.0  0.881096  13.149344
 203.0  0.886596  12.983852
 204.0  0.899606  12.600677
 205.0  0.907422  12.375946
 206.0  0.919356  12.040473
 207.0  0.928945  11.777550
 208.0  0.938850  11.511985
 209.0  0.953230  11.137048
 210.0  0.968990  10.740145
 211.0  0.987118  10.301073
 212.0  1.014044   9.681788
 213.0  1.051084   8.890284
 214.0  1.103614   7.877450
 215.0  1.013401   9.696147
 216.0  1.019923   9.551625
 217.0  1.021274   9.521955
 218.0  1.028547   9.363812
 219.0  1.031477   9.300858
 220.0  1.036177   9.200742
 221.0  1.043218   9.052771
 222.0  1.049408   8.924667
 223.0  1.056112   8.787967
 224.0  1.060950   8.690609
 225.0  1.067945   8.551743
 226.0  1.071857   8.475062
 227.0  1.075050   8.412983
 228.0  1.114308   7.685847
 229.0  1.118570   7.610801
 230.0  1.122215   7.547180
 231.0  1.128783   7.433907
 232.0  1.136591   7.301453
 233.0  1.140183   7.241308
 234.0  1.144469   7.170197
 235.0  1.151110   7.061382
 236.0  1.155856   6.984643
 237.0  1.158962   6.934865
 238.0  1.162381   6.880477
 239.0  1.168248   6.788162
 240.0  1.171690   6.734567
 241.0  1.172759   6.718015
 242.0  1.176842   6.655158
 243.0  1.180782   6.595044
 244.0  1.180911   6.593096
 245.0  1.182907   6.562853
 246.0  1.185615   6.522064
 247.0  1.188551   6.478125
 248.0  1.187314   6.496594
 249.0  1.187596   6.492382
 250.0  1.189297   6.466997
 251.0  1.191006   6.441605
 252.0  1.192180   6.424217
 253.0  1.191397   6.435811
 254.0  1.189757   6.460151
 255.0  1.190281   6.452369
 256.0  1.191187   6.438924
 257.0  1.188221   6.483043
 258.0  1.187027   6.500896
 259.0  1.190255   6.452746
 260.0  1.186517   6.508524
 261.0  1.183940   6.547264
 262.0  1.186340   6.511183
 263.0  1.183752   6.550095
 264.0  1.180867   6.593759
 265.0  1.182667   6.566485
 266.0  1.181196   6.588769
 267.0  1.177446   6.645905
 268.0  1.179109   6.620498
 269.0  1.178543   6.629136
 270.0  1.175082   6.682172
 271.0  1.176805   6.655719
 272.0  1.176595   6.658935
 273.0  1.174227   6.695353
 274.0  1.173243   6.710530
 275.0  1.175916   6.669356
 276.0  1.179610   6.612863
 277.0  1.179305   6.617511
 278.0  1.178150   6.635141
 279.0  1.181033   6.591232
 280.0  1.182875   6.563344
 281.0  1.180189   6.604060
 282.0  1.180585   6.598048
 283.0  1.185180   6.528596
 284.0  1.185989   6.516443
 285.0  1.184810   6.534161
 286.0  1.187777   6.489680
 287.0  1.192465   6.420004
 288.0  1.190597   6.447667
 289.0  1.190765   6.445181
 290.0  1.191679   6.431631
 291.0  1.194370   6.391903
 292.0  1.195617   6.373576
 293.0  1.192902   6.413545
 294.0  1.196790   6.356390
 295.0  1.197818   6.341357
 296.0  1.195610   6.373679
 297.0  1.197746   6.342412
 298.0  1.200001   6.309562
 299.0  1.200073   6.308513
 300.0  1.197185   6.350610
 301.0  1.197464   6.346525
 302.0  1.201065   6.294119
 303.0  1.198157   6.336409
 304.0  1.198570   6.330390
 305.0  1.201691   6.285057
 306.0  1.201246   6.291492
 307.0  1.200163   6.307204
 308.0  1.201308   6.290599
 309.0  1.205223   6.234140
 310.0  1.204450   6.245245
 311.0  1.206191   6.220264
 312.0  1.209101   6.178724
 313.0  1.212289   6.133536
 314.0  1.212439   6.131415
 315.0  1.214129   6.107606
 316.0  1.218465   6.046935
 317.0  1.221601   6.003427
 318.0  1.220909   6.013002
 319.0  1.227692   5.919806
 320.0  1.228678   5.906389
 321.0  1.231174   5.872547
 322.0  1.236623   5.799315
 323.0  1.239645   5.759105
 324.0  1.239568   5.760133
 325.0  1.244316   5.697501
 326.0  1.246486   5.669096
 327.0  1.246292   5.671638
 328.0  1.249233   5.633350
 329.0  1.231952   5.862027
 330.0  1.232058   5.860597
 331.0  1.234894   5.822454
 332.0  1.235201   5.818340
